	"fusion_status"	509	4463	5700	6152	10012	10440	16655	22707	"2574AP"	"12251AP"	"RD FFPE (ERMS)"	"RH28 FFPE (ARMSp)"	2369	2574	6237	6468	10191	12240	12251	13413	15438	24130	"IRS 12"	"IRS 19"	"IRS 44"	"IRS 58"	"IRS 66"	"IRS 73"	"IRS 78"	"IRS 83"	"IRS 93"	"IRS 135"	"IRS 136"
"RBM13"	"Fusion Negative"	80.3	87.0	241.0	243.3	101.1	247.3	437.1	119.7	546.9	83.7	77.2	49.6	73.3	88.2	71.9	46.2	116.9	36.7	85.3	122.5	76.6	42.8	37.2	10.6	5.7	31.2	36.9	9.4	40.2	23.7	13.3	14.9	15.4
"RPL19"	"Housekeeping Gene"	9269.4	11495.9	7446.1	10536.1	6647.8	7381.6	9039.1	9572.4	10896.9	9276.6	3113.1	7564.0	9606.7	10964.3	3944.5	10641.6	9375.7	11071.7	7813.1	11610.5	4675.4	7369.3	2695.1	2011.5	1877.1	3527.2	4928.3	6884.3	2805.4	2663.2	2675.8	1889.5	3023.4
"RPLP0"	"Housekeeping Gene"	2849.0	4049.1	3218.2	13089.7	4063.4	5886.5	9332.6	4254.0	904.6	5593.2	2336.3	2192.5	3051.4	4157.2	2591.5	3012.3	4038.5	1817.7	5797.8	5217.4	4567.5	2168.0	3599.9	2786.4	3145.4	2681.2	3161.5	6312.7	3298.8	2170.6	1995.4	1657.0	1874.3
"SAE1"	"Fusion Negative"	80.3	14.0	6.5	44.1	12.7	34.1	12.8	10.0	0.0	10.8	36.1	25.1	17.3	22.9	21.3	1.0	19.3	18.4	11.9	49.0	4.3	6.8	4.9	0.0	4.0	5.2	2.3	9.4	12.7	6.4	0.0	17.9	4.4
"SPRED2"	"Fusion Negative"	40.1	30.9	202.0	283.2	200.5	258.7	178.7	64.5	0.0	44.2	213.3	101.3	105.5	140.5	93.2	33.7	110.8	128.5	35.7	122.5	82.9	40.6	53.7	79.6	85.7	49.5	68.0	49.5	85.8	82.9	43.6	47.7	169.2
"TAGLN3"	"Fusion Positive"	160.5	92.7	19.5	40.6	7.6	11.4	70.2	178.0	84.1	171.7	0.9	193.6	144.3	15.2	45.3	9.6	14.9	36.7	142.2	24.5	27.6	33.8	32.3	0.0	0.0	5.2	10.4	12.0	6.0	12.7	0.0	3.0	57.1
"TBP"	"Housekeeping Gene"	80.3	39.3	65.1	60.1	48.4	71.1	44.7	58.3	42.1	67.7	79.6	180.1	69.2	41.4	93.2	70.2	29.9	18.4	73.4	61.2	34.6	40.6	31.8	26.5	28.2	33.8	18.4	41.5	21.5	18.2	56.9	29.8	33.0
"TFAP2B"	"Fusion Positive"	280.9	160.1	58.6	25.2	6.8	22.7	89.3	284.0	252.4	318.9	0.0	48.0	257.0	2.2	32.0	3.8	4.4	55.1	294.3	61.2	3.7	18.0	0.5	15.9	3.4	5.2	5.8	97.7	1.3	2.7	7.6	17.9	0.0
"TNRC9"	"Fusion Positive"	280.9	98.3	6.5	20.3	4.2	5.7	41.5	43.7	21.0	62.1	0.9	13.0	24.4	3.3	8.0	8.7	9.7	0.0	61.5	0.0	7.4	2.3	0.5	21.2	2.3	2.6	8.1	34.8	1.3	0.9	19.0	6.0	6.6
"TRPS1"	"Fusion Negative"	0.0	5.6	32.6	141.2	101.1	181.9	38.3	18.4	21.0	5.2	45.9	14.6	20.9	66.4	29.3	17.3	33.4	55.1	5.3	12.2	23.4	18.0	24.6	31.8	11.5	46.9	24.2	17.4	83.8	25.5	17.1	32.8	15.4
"TULP4"	"Fusion Positive"	321.0	165.7	143.3	88.8	51.8	73.9	102.1	306.2	63.1	219.7	69.7	85.1	240.9	67.5	61.3	58.6	103.8	18.4	190.5	122.5	61.7	49.6	72.8	37.2	25.9	28.6	41.5	60.2	34.9	37.3	58.7	29.8	43.9
"ZIC1"	"Fusion Negative"	0.0	14.0	32.6	41.3	28.9	68.2	162.7	43.0	378.7	15.1	12.5	21.4	8.9	33.8	50.6	13.5	26.4	91.8	9.9	49.0	9.6	6.8	9.3	15.9	2.9	10.4	29.9	9.4	9.4	11.8	3.8	29.8	26.4
